id,date,produit,categorie,region,montant,quantite
1,2024-05-20,Laptop Pro,Électronique,PACA,527.14,4
2,2024-10-06,Webcam HD,Électronique,PACA,351.72,2
3,2024-04-21,Laptop Pro,Électronique,Île-de-France,662.57,4
4,2024-11-28,Clé USB 64Go,Électronique,Auvergne-Rhône-Alpes,1398.08,9
5,2024-01-04,Atlas Monde,Livres,Nouvelle-Aquitaine,67.96,3
6,2024-04-20,Tasse Design,Maison,Auvergne-Rhône-Alpes,117.27,6
7,2024-06-25,Roman Policier,Livres,Nouvelle-Aquitaine,164.09,10
8,2024-10-01,Webcam HD,Électronique,Occitanie,443.55,2
9,2024-05-30,Roman Policier,Livres,Bretagne,253.51,10
10,2024-12-26,Cadre Photo,Maison,Auvergne-Rhône-Alpes,36.83,2
11,2024-04-29,Veste Sport,Vêtements,Île-de-France,90.37,2
12,2024-07-08,BD Manga,Livres,Auvergne-Rhône-Alpes,93.7,6
13,2024-11-21,Lampe LED,Maison,Bretagne,84.55,3
14,2024-07-13,Jean Slim,Vêtements,Occitanie,335.61,5
15,2024-04-27,Veste Sport,Vêtements,Île-de-France,60.48,1
16,2024-04-18,BD Manga,Livres,Île-de-France,252.2,10
17,2024-09-12,Coussin Déco,Maison,PACA,246.36,7
18,2024-03-12,Guide Python,Livres,Nouvelle-Aquitaine,93.31,4
19,2024-10-25,Cadre Photo,Maison,Occitanie,173.18,7
20,2024-02-16,Écharpe Laine,Vêtements,Occitanie,62.5,1
21,2024-08-04,Jean Slim,Vêtements,PACA,337.87,10
22,2024-09-27,Atlas Monde,Livres,Occitanie,132.92,5
23,2024-02-28,Webcam HD,Électronique,PACA,1755.95,9
24,2024-08-10,Lampe LED,Maison,Nouvelle-Aquitaine,79.72,3
25,2024-09-16,Cadre Photo,Maison,Auvergne-Rhône-Alpes,69.82,2
26,2024-04-11,Cadre Photo,Maison,Bretagne,74.93,3
27,2024-01-01,Écharpe Laine,Vêtements,Bretagne,431.7,10
28,2024-06-06,Laptop Pro,Électronique,Nouvelle-Aquitaine,447.8,4
29,2024-09-05,Laptop Pro,Électronique,PACA,444.72,2
30,2024-08-31,Jean Slim,Vêtements,PACA,337.0,9
31,2024-12-19,Guide Python,Livres,Bretagne,91.47,4
32,2024-09-21,BD Manga,Livres,Occitanie,114.74,8
33,2024-01-11,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,514.41,10
34,2024-12-28,T-shirt Coton,Vêtements,Île-de-France,39.74,1
35,2024-09-20,Casque Audio,Électronique,Île-de-France,553.67,4
